plan_name,plan_data_gb,plan_price_eur,plan_max_speed_mbps,plan_network_type,age,city,region,urban,monthly_data_gb,monthly_call_minutes,monthly_sms,international_calls,payment_method,customer_tenure_months,avg_download_speed_mbps,network_complaints_last_6_months,dropped_calls_per_month,churn,contract_type
Mobile Maxi,120,29.99,500,5G,18,Brussels,Brussels,Yes,136.4,605,22,No,Bank transfer,38,276,0,0,Yes,Month-to-month
Mobile Maxi,120,29.99,500,5G,20,Leuven,Flanders,Yes,104.0,535,13,Yes,Direct debit,16,229,3,1,No,Month-to-month
Mobile Maxi,120,29.99,500,5G,49,Mons,Wallonia,No,104.9,484,53,No,Card,19,268,1,3,Yes,Month-to-month
Mobile Smart,60,24.99,500,5G,49,Leuven,Flanders,Yes,41.0,56,24,No,Direct debit,120,226,3,2,No,Month-to-month
Mobile Essential,5,16.99,220,4G,45,Charleroi,Wallonia,Yes,2.2,488,181,No,Direct debit,13,141,0,1,No,Month-to-month
Mobile Essential,5,16.99,220,4G,28,Hasselt,Flanders,No,2.1,282,2,No,Direct debit,23,139,2,0,Yes,Month-to-month
Mobile Maxi,120,29.99,500,5G,39,Ghent,Flanders,Yes,88.6,537,17,No,Direct debit,11,259,0,2,Yes,Month-to-month
Mobile Smart,60,24.99,500,5G,39,Antwerp,Flanders,Yes,28.1,916,26,Yes,Bank transfer,12,368,3,2,No,Month-to-month
Mobile Essential,5,16.99,220,4G,26,Antwerp,Flanders,Yes,4.4,314,27,No,Direct debit,29,105,0,1,No,Month-to-month
Mobile Essential,5,16.99,220,4G,58,Liège,Wallonia,Yes,5.5,464,15,Yes,Direct debit,67,146,0,0,No,Month-to-month
Mobile Smart,60,24.99,500,5G,50,Ghent,Flanders,Yes,66.4,1355,52,No,Direct debit,19,214,1,0,No,Month-to-month
Mobile Essential,5,16.99,220,4G,37,Mechelen,Flanders,No,4.6,520,83,No,Direct debit,36,83,0,0,No,Month-to-month
Mobile Essential,5,16.99,220,4G,40,Leuven,Flanders,Yes,2.8,426,111,No,Direct debit,3,71,0,0,No,Month-to-month
Mobile Smart,60,24.99,500,5G,42,Mechelen,Flanders,No,65.4,235,65,No,Direct debit,6,274,3,0,Yes,Month-to-month
Mobile Smart,60,24.99,500,5G,18,Charleroi,Wallonia,Yes,66.5,723,76,Yes,Direct debit,17,305,0,1,No,Month-to-month
Mobile Smart,60,24.99,500,5G,37,Mons,Wallonia,No,33.4,204,31,No,Direct debit,1,214,1,1,No,Month-to-month
Mobile Easy,10,19.99,250,5G,31,Ghent,Flanders,Yes,9.9,941,69,No,Bank transfer,7,121,0,1,No,Month-to-month
Mobile Smart,60,24.99,500,5G,27,Namur,Wallonia,No,37.8,659,14,No,Direct debit,18,161,1,1,No,Month-to-month
Mobile Easy,10,19.99,250,5G,36,Liège,Wallonia,Yes,10.4,290,20,No,Direct debit,1,180,1,3,No,Month-to-month
Mobile Easy,10,19.99,250,5G,61,Mechelen,Flanders,No,12.0,241,15,No,Direct debit,8,174,0,2,No,Month-to-month
Mobile Smart,60,24.99,500,5G,47,Mons,Wallonia,No,25.4,245,25,No,Direct debit,18,184,0,3,No,Month-to-month
Mobile Smart,60,24.99,500,5G,33,Antwerp,Flanders,Yes,67.1,93,13,Yes,Direct debit,21,326,0,3,No,Month-to-month
Mobile Maxi,120,29.99,500,5G,46,Brussels,Brussels,Yes,107.8,587,130,No,Direct debit,63,189,0,3,No,Month-to-month
Mobile Smart,60,24.99,500,5G,56,Charleroi,Wallonia,Yes,70.7,64,15,Yes,Direct debit,25,350,0,1,No,Month-to-month
Mobile Smart,60,24.99,500,5G,51,Leuven,Flanders,Yes,46.3,408,4,No,Direct debit,13,321,1,0,Yes,Month-to-month
Mobile Essential,5,16.99,220,4G,40,Charleroi,Wallonia,Yes,5.4,390,29,No,Direct debit,64,152,0,0,Yes,Month-to-month
Mobile Easy,10,19.99,250,5G,32,Charleroi,Wallonia,Yes,4.5,344,2,Yes,Direct debit,37,139,0,1,Yes,Month-to-month
Mobile Easy,10,19.99,250,5G,48,Brussels,Brussels,Yes,6.7,584,4,Yes,Direct debit,6,125,1,2,No,Month-to-month
Mobile Easy,10,19.99,250,5G,44,Charleroi,Wallonia,Yes,4.5,290,9,No,Direct debit,4,97,0,0,No,Month-to-month
Mobile Unlimited,999,49.99,1000,5G,50,Leuven,Flanders,Yes,195.8,488,24,No,Card,28,592,0,5,Yes,Month-to-month
Mobile Easy,10,19.99,250,5G,47,Mechelen,Flanders,No,10.5,941,22,Yes,Direct debit,20,94,0,3,No,Month-to-month
Mobile Maxi,120,29.99,500,5G,52,Hasselt,Flanders,No,129.8,629,64,Yes,Bank transfer,38,228,0,3,No,Month-to-month
Mobile Smart,60,24.99,500,5G,33,Charleroi,Wallonia,Yes,69.0,322,53,No,Direct debit,33,364,1,1,No,Month-to-month
Mobile Maxi,120,29.99,500,5G,55,Brussels,Brussels,Yes,56.2,435,22,No,Direct debit,24,318,1,0,No,Month-to-month
Mobile Smart,60,24.99,500,5G,42,Leuven,Flanders,Yes,42.5,344,16,No,Direct debit,104,274,0,0,No,Month-to-month
Mobile Smart,60,24.99,500,5G,64,Liège,Wallonia,Yes,27.4,386,15,Yes,Direct debit,19,325,0,1,Yes,Month-to-month
Mobile Smart,60,24.99,500,5G,31,Liège,Wallonia,Yes,34.1,498,59,No,Direct debit,3,295,0,1,Yes,Month-to-month
Mobile Essential,5,16.99,220,4G,60,Liège,Wallonia,Yes,2.9,139,2,Yes,Direct debit,43,134,0,1,Yes,Month-to-month
Mobile Smart,60,24.99,500,5G,42,Brussels,Brussels,Yes,46.5,112,0,Yes,Bank transfer,7,239,2,0,Yes,Month-to-month
Mobile Easy,10,19.99,250,5G,32,Antwerp,Flanders,Yes,6.1,220,63,No,Direct debit,37,101,0,2,No,Month-to-month
Mobile Essential,5,16.99,220,4G,34,Ghent,Flanders,Yes,2.4,602,25,No,Direct debit,76,79,0,0,Yes,Month-to-month
Mobile Smart,60,24.99,500,5G,36,Namur,Wallonia,No,32.0,656,5,No,Direct debit,29,285,0,0,No,Month-to-month
Mobile Essential,5,16.99,220,4G,45,Antwerp,Flanders,Yes,2.6,718,10,No,Direct debit,22,137,1,2,No,Month-to-month
Mobile Unlimited,999,49.99,1000,5G,46,Antwerp,Flanders,Yes,195.4,226,107,No,Direct debit,15,702,1,0,No,Month-to-month
Mobile Unlimited,999,49.99,1000,5G,33,Mons,Wallonia,No,159.1,462,78,No,Direct debit,11,648,1,1,Yes,Month-to-month
Mobile Unlimited,999,49.99,1000,5G,39,Brussels,Brussels,Yes,194.5,330,49,No,Direct debit,11,507,2,0,Yes,Month-to-month
Mobile Easy,10,19.99,250,5G,65,Mons,Wallonia,No,7.5,397,26,No,Direct debit,25,144,0,1,No,Month-to-month
Mobile Essential,5,16.99,220,4G,60,Liège,Wallonia,Yes,3.1,325,29,No,Card,34,98,0,0,No,Month-to-month
Mobile Unlimited,999,49.99,1000,5G,45,Namur,Wallonia,No,165.7,517,147,No,Direct debit,28,513,0,2,Yes,Month-to-month
Mobile Easy,10,19.99,250,5G,40,Antwerp,Flanders,Yes,6.6,264,134,No,Direct debit,6,98,1,3,Yes,Month-to-month
Mobile Unlimited,999,49.99,1000,5G,41,Brussels,Brussels,Yes,80.9,877,9,No,Bank transfer,17,449,1,1,No,Month-to-month
Mobile Unlimited,999,49.99,1000,5G,47,Liège,Wallonia,Yes,69.5,882,66,No,Direct debit,38,757,0,1,No,Month-to-month
Mobile Maxi,120,29.99,500,5G,27,Namur,Wallonia,No,60.4,590,8,No,Direct debit,16,325,1,0,No,Month-to-month
Mobile Easy,10,19.99,250,5G,36,Liège,Wallonia,Yes,6.1,815,9,No,Direct debit,19,154,1,1,No,Month-to-month
Mobile Easy,10,19.99,250,5G,19,Brussels,Brussels,Yes,6.8,134,45,No,Direct debit,36,141,2,2,No,Month-to-month
Mobile Maxi,120,29.99,500,5G,44,Liège,Wallonia,Yes,112.7,909,20,Yes,Direct debit,26,367,0,0,Yes,Month-to-month
Mobile Easy,10,19.99,250,5G,47,Liège,Wallonia,Yes,4.5,555,107,No,Direct debit,13,185,1,0,No,Month-to-month
Mobile Essential,5,16.99,220,4G,34,Liège,Wallonia,Yes,2.8,276,3,No,Direct debit,55,142,0,2,Yes,Month-to-month
Mobile Smart,60,24.99,500,5G,58,Liège,Wallonia,Yes,62.8,256,28,No,Direct debit,5,262,1,0,No,Month-to-month
Mobile Unlimited,999,49.99,1000,5G,25,Charleroi,Wallonia,Yes,55.0,1100,100,No,Direct debit,120,612,2,1,Yes,Month-to-month
Mobile Smart,60,24.99,500,5G,22,Hasselt,Flanders,No,40.4,725,93,Yes,Bank transfer,4,331,0,2,No,Month-to-month
Mobile Smart,60,24.99,500,5G,42,Brussels,Brussels,Yes,65.5,390,6,No,Direct debit,1,270,1,1,No,Month-to-month
Mobile Essential,5,16.99,220,4G,52,Leuven,Flanders,Yes,2.6,133,18,No,Direct debit,53,123,1,1,No,Month-to-month
Mobile Smart,60,24.99,500,5G,60,Brussels,Brussels,Yes,28.0,937,38,No,Direct debit,7,276,0,3,Yes,Month-to-month
Mobile Unlimited,999,49.99,1000,5G,34,Ghent,Flanders,Yes,112.4,182,6,No,Bank transfer,32,329,0,1,Yes,Month-to-month
Mobile Essential,5,16.99,220,4G,52,Ghent,Flanders,Yes,3.2,334,137,No,Direct debit,40,72,0,1,No,Month-to-month
Mobile Smart,60,24.99,500,5G,39,Brussels,Brussels,Yes,51.0,390,98,No,Direct debit,48,334,3,2,No,Month-to-month
Mobile Maxi,120,29.99,500,5G,37,Ghent,Flanders,Yes,125.2,253,7,No,Bank transfer,115,376,1,0,No,Month-to-month
Mobile Smart,60,24.99,500,5G,50,Brussels,Brussels,Yes,30.6,378,5,Yes,Direct debit,9,229,0,1,No,Month-to-month
Mobile Smart,60,24.99,500,5G,47,Namur,Wallonia,No,51.9,431,3,No,Bank transfer,30,305,0,3,No,Month-to-month
Mobile Smart,60,24.99,500,5G,21,Mons,Wallonia,No,48.3,372,96,No,Direct debit,3,264,0,1,No,Month-to-month
Mobile Easy,10,19.99,250,5G,57,Brussels,Brussels,Yes,5.2,534,8,No,Direct debit,13,165,0,0,No,Month-to-month
Mobile Easy,10,19.99,250,5G,56,Mons,Wallonia,No,9.0,1125,21,No,Bank transfer,46,146,0,2,No,Month-to-month
Mobile Maxi,120,29.99,500,5G,32,Mechelen,Flanders,No,74.3,139,23,No,Direct debit,11,223,0,0,No,Month-to-month
Mobile Maxi,120,29.99,500,5G,44,Antwerp,Flanders,Yes,94.8,481,36,Yes,Direct debit,22,308,0,3,No,Month-to-month
Mobile Maxi,120,29.99,500,5G,45,Brussels,Brussels,Yes,55.9,183,2,Yes,Direct debit,17,247,0,3,No,Month-to-month
Mobile Unlimited,999,49.99,1000,5G,43,Leuven,Flanders,Yes,108.1,127,10,No,Bank transfer,25,385,1,0,Yes,Month-to-month
Mobile Smart,60,24.99,500,5G,33,Namur,Wallonia,No,38.7,777,107,No,Direct debit,87,176,2,1,No,Month-to-month
Mobile Smart,60,24.99,500,5G,31,Liège,Wallonia,Yes,63.5,508,95,No,Direct debit,2,317,1,0,Yes,Month-to-month
Mobile Maxi,120,29.99,500,5G,39,Brussels,Brussels,Yes,53.5,120,60,No,Direct debit,21,377,1,3,No,Month-to-month
Mobile Smart,60,24.99,500,5G,54,Brussels,Brussels,Yes,44.1,378,0,No,Direct debit,48,308,0,2,No,Month-to-month
Mobile Smart,60,24.99,500,5G,46,Ghent,Flanders,Yes,46.0,220,15,No,Direct debit,16,205,0,1,No,Month-to-month
Mobile Maxi,120,29.99,500,5G,35,Antwerp,Flanders,Yes,117.6,387,39,No,Direct debit,2,318,0,1,Yes,Month-to-month
Mobile Maxi,120,29.99,500,5G,49,Antwerp,Flanders,Yes,103.1,670,12,No,Direct debit,20,364,1,2,No,Month-to-month
Mobile Easy,10,19.99,250,5G,18,Antwerp,Flanders,Yes,9.3,628,96,Yes,Direct debit,10,82,2,4,No,Month-to-month
Mobile Easy,10,19.99,250,5G,53,Namur,Wallonia,No,10.2,327,40,Yes,Direct debit,5,79,1,0,No,Month-to-month
Mobile Essential,5,16.99,220,4G,19,Charleroi,Wallonia,Yes,5.4,800,2,Yes,Direct debit,46,105,2,0,Yes,Month-to-month
Mobile Smart,60,24.99,500,5G,35,Ghent,Flanders,Yes,39.1,986,95,Yes,Bank transfer,18,276,1,0,Yes,Month-to-month
Mobile Essential,5,16.99,220,4G,26,Charleroi,Wallonia,Yes,4.2,677,126,Yes,Bank transfer,65,158,0,0,Yes,Month-to-month
Mobile Smart,60,24.99,500,5G,24,Antwerp,Flanders,Yes,64.3,289,3,No,Direct debit,40,171,0,1,No,Month-to-month
Mobile Smart,60,24.99,500,5G,53,Leuven,Flanders,Yes,71.5,396,30,No,Direct debit,29,279,0,0,No,Month-to-month
Mobile Easy,10,19.99,250,5G,34,Antwerp,Flanders,Yes,11.1,1103,14,No,Direct debit,1,108,0,0,No,Month-to-month
Mobile Smart,60,24.99,500,5G,44,Hasselt,Flanders,No,41.8,345,19,Yes,Direct debit,14,313,1,2,No,Month-to-month
Mobile Essential,5,16.99,220,4G,39,Mons,Wallonia,No,2.8,629,7,No,Direct debit,6,153,0,1,No,Month-to-month
Mobile Essential,5,16.99,220,4G,45,Hasselt,Flanders,No,4.0,250,34,No,Direct debit,59,94,0,2,No,Month-to-month
Mobile Maxi,120,29.99,500,5G,40,Ghent,Flanders,Yes,119.2,803,126,Yes,Direct debit,5,251,0,2,Yes,Month-to-month
Mobile Easy,10,19.99,250,5G,24,Hasselt,Flanders,No,7.9,229,27,No,Bank transfer,9,146,0,1,Yes,Month-to-month
Mobile Essential,5,16.99,220,4G,51,Brussels,Brussels,Yes,3.9,408,3,Yes,Direct debit,18,114,0,0,Yes,Month-to-month
Mobile Smart,60,24.99,500,5G,34,Charleroi,Wallonia,Yes,64.2,615,38,No,Direct debit,8,286,0,0,No,Month-to-month
Mobile Maxi,120,29.99,500,5G,21,Leuven,Flanders,Yes,82.7,1241,16,No,Direct debit,6,319,0,0,No,Month-to-month
Mobile Easy,10,19.99,250,5G,34,Leuven,Flanders,Yes,10.9,502,77,No,Bank transfer,22,162,1,0,No,Month-to-month
Mobile Smart,60,24.99,500,5G,58,Hasselt,Flanders,No,43.5,360,22,No,Direct debit,3,216,0,1,Yes,Month-to-month
Mobile Essential,5,16.99,220,4G,50,Hasselt,Flanders,No,3.3,341,8,No,Direct debit,2,107,1,1,Yes,Month-to-month
Mobile Essential,5,16.99,220,4G,35,Brussels,Brussels,Yes,3.8,781,8,No,Direct debit,12,104,2,7,Yes,Month-to-month
Mobile Smart,60,24.99,500,5G,35,Liège,Wallonia,Yes,60.6,584,58,No,Direct debit,31,354,2,1,No,Month-to-month
Mobile Smart,60,24.99,500,5G,36,Antwerp,Flanders,Yes,30.0,662,12,Yes,Direct debit,20,374,2,1,Yes,Month-to-month
Mobile Smart,60,24.99,500,5G,64,Liège,Wallonia,Yes,33.4,1056,58,Yes,Direct debit,14,366,0,2,Yes,Month-to-month
Mobile Smart,60,24.99,500,5G,44,Namur,Wallonia,No,69.7,451,9,No,Direct debit,21,222,0,5,No,Month-to-month
Mobile Unlimited,999,49.99,1000,5G,45,Namur,Wallonia,No,59.8,557,15,No,Direct debit,11,593,0,0,Yes,Month-to-month
Mobile Smart,60,24.99,500,5G,52,Mechelen,Flanders,No,51.3,338,25,No,Direct debit,67,170,0,3,No,Month-to-month
Mobile Easy,10,19.99,250,5G,42,Mechelen,Flanders,No,8.6,243,114,Yes,Bank transfer,2,153,2,0,Yes,Month-to-month
Mobile Maxi,120,29.99,500,5G,36,Brussels,Brussels,Yes,95.0,280,107,No,Direct debit,27,276,1,1,No,Month-to-month
Mobile Easy,10,19.99,250,5G,37,Namur,Wallonia,No,9.2,50,9,No,Direct debit,54,140,0,0,No,Month-to-month
Mobile Easy,10,19.99,250,5G,39,Antwerp,Flanders,Yes,5.8,611,17,No,Direct debit,40,149,0,0,No,Month-to-month
Mobile Essential,5,16.99,220,4G,39,Leuven,Flanders,Yes,4.2,572,6,No,Direct debit,5,75,0,0,No,Month-to-month
Mobile Essential,5,16.99,220,4G,48,Antwerp,Flanders,Yes,3.5,603,28,No,Direct debit,9,132,1,1,No,Month-to-month
Mobile Unlimited,999,49.99,1000,5G,40,Brussels,Brussels,Yes,142.5,231,24,Yes,Direct debit,31,740,1,0,No,Month-to-month
Mobile Maxi,120,29.99,500,5G,48,Hasselt,Flanders,No,61.6,283,92,No,Bank transfer,3,300,2,2,Yes,Month-to-month
Mobile Smart,60,24.99,500,5G,39,Brussels,Brussels,Yes,51.4,277,106,No,Card,41,267,2,0,No,Month-to-month
Mobile Easy,10,19.99,250,5G,40,Liège,Wallonia,Yes,5.5,852,19,No,Direct debit,31,103,0,0,No,Month-to-month
Mobile Essential,5,16.99,220,4G,18,Antwerp,Flanders,Yes,3.1,490,27,No,Direct debit,32,128,0,0,No,Month-to-month
Mobile Essential,5,16.99,220,4G,50,Brussels,Brussels,Yes,2.9,448,90,No,Direct debit,3,146,0,0,Yes,Month-to-month
Mobile Easy,10,19.99,250,5G,44,Mechelen,Flanders,No,5.5,701,65,No,Direct debit,31,114,0,1,No,Month-to-month
Mobile Smart,60,24.99,500,5G,51,Brussels,Brussels,Yes,63.6,277,0,No,Direct debit,28,271,2,2,No,Month-to-month
Mobile Smart,60,24.99,500,5G,18,Antwerp,Flanders,Yes,37.7,549,15,No,Direct debit,43,329,0,2,No,Month-to-month
Mobile Smart,60,24.99,500,5G,65,Liège,Wallonia,Yes,68.5,1338,21,No,Bank transfer,2,240,1,1,Yes,Month-to-month
Mobile Easy,10,19.99,250,5G,38,Brussels,Brussels,Yes,11.8,935,10,No,Direct debit,1,140,0,0,No,Month-to-month
Mobile Unlimited,999,49.99,1000,5G,53,Namur,Wallonia,No,127.1,543,8,No,Bank transfer,12,423,0,2,Yes,Month-to-month
Mobile Smart,60,24.99,500,5G,27,Brussels,Brussels,Yes,30.9,459,1,No,Bank transfer,4,369,0,2,No,Month-to-month
Mobile Smart,60,24.99,500,5G,47,Antwerp,Flanders,Yes,42.0,600,41,No,Direct debit,20,391,0,4,No,Month-to-month
Mobile Smart,60,24.99,500,5G,27,Liège,Wallonia,Yes,62.3,1014,12,Yes,Direct debit,60,362,1,1,No,Month-to-month
Mobile Easy,10,19.99,250,5G,32,Antwerp,Flanders,Yes,6.9,970,2,No,Direct debit,12,160,0,0,No,Month-to-month
Mobile Easy,10,19.99,250,5G,62,Brussels,Brussels,Yes,4.7,1117,10,Yes,Direct debit,45,155,1,1,No,Month-to-month
Mobile Easy,10,19.99,250,5G,37,Ghent,Flanders,Yes,8.5,508,64,No,Direct debit,1,124,1,1,No,Month-to-month
Mobile Maxi,120,29.99,500,5G,42,Antwerp,Flanders,Yes,129.1,63,76,No,Direct debit,5,337,0,1,No,Month-to-month
Mobile Essential,5,16.99,220,4G,50,Charleroi,Wallonia,Yes,5.2,1282,26,No,Card,1,130,1,1,Yes,Month-to-month
Mobile Essential,5,16.99,220,4G,45,Antwerp,Flanders,Yes,2.7,242,21,No,Direct debit,10,116,0,1,No,Month-to-month
Mobile Essential,5,16.99,220,4G,41,Namur,Wallonia,No,4.7,694,152,No,Direct debit,58,93,1,1,Yes,Month-to-month
Mobile Essential,5,16.99,220,4G,44,Charleroi,Wallonia,Yes,2.9,65,8,No,Bank transfer,3,159,1,0,No,Month-to-month
Mobile Maxi,120,29.99,500,5G,68,Leuven,Flanders,Yes,68.9,441,9,Yes,Direct debit,23,315,4,0,No,Month-to-month
Mobile Smart,60,24.99,500,5G,39,Charleroi,Wallonia,Yes,66.0,345,13,Yes,Direct debit,15,216,0,3,No,Month-to-month
Mobile Smart,60,24.99,500,5G,42,Ghent,Flanders,Yes,36.0,1119,7,No,Direct debit,67,356,0,2,No,Month-to-month
Mobile Essential,5,16.99,220,4G,52,Mons,Wallonia,No,3.1,548,19,No,Direct debit,4,94,0,1,Yes,Month-to-month
Mobile Smart,60,24.99,500,5G,53,Brussels,Brussels,Yes,24.0,438,96,Yes,Bank transfer,6,271,0,0,No,Month-to-month
Mobile Smart,60,24.99,500,5G,54,Liège,Wallonia,Yes,65.8,587,38,Yes,Direct debit,1,210,1,0,No,Month-to-month
Mobile Essential,5,16.99,220,4G,47,Leuven,Flanders,Yes,5.2,50,21,No,Direct debit,14,83,2,0,No,Month-to-month
Mobile Easy,10,19.99,250,5G,26,Ghent,Flanders,Yes,9.0,273,108,No,Direct debit,8,167,0,1,No,Month-to-month
Mobile Easy,10,19.99,250,5G,59,Hasselt,Flanders,No,10.0,304,1,No,Direct debit,49,144,0,0,No,Month-to-month
Mobile Smart,60,24.99,500,5G,26,Liège,Wallonia,Yes,31.3,647,9,Yes,Direct debit,23,373,0,1,Yes,Month-to-month
Mobile Smart,60,24.99,500,5G,43,Brussels,Brussels,Yes,46.0,203,33,Yes,Bank transfer,23,309,0,0,No,Month-to-month
Mobile Essential,5,16.99,220,4G,30,Brussels,Brussels,Yes,3.4,494,38,No,Direct debit,19,129,0,1,No,Month-to-month
Mobile Easy,10,19.99,250,5G,39,Liège,Wallonia,Yes,4.8,410,1,No,Direct debit,3,168,0,1,No,Month-to-month
Mobile Smart,60,24.99,500,5G,43,Liège,Wallonia,Yes,47.3,284,20,No,Direct debit,15,342,1,2,No,Month-to-month
Mobile Smart,60,24.99,500,5G,43,Mons,Wallonia,No,68.2,298,41,No,Direct debit,120,284,0,3,No,Month-to-month
Mobile Maxi,120,29.99,500,5G,45,Liège,Wallonia,Yes,51.8,407,47,No,Direct debit,44,368,0,4,Yes,Month-to-month
Mobile Smart,60,24.99,500,5G,59,Mons,Wallonia,No,38.0,84,40,Yes,Card,54,283,1,3,Yes,Month-to-month
Mobile Essential,5,16.99,220,4G,45,Liège,Wallonia,Yes,2.8,707,15,No,Direct debit,42,101,0,1,No,Month-to-month
Mobile Essential,5,16.99,220,4G,37,Antwerp,Flanders,Yes,3.0,241,3,No,Direct debit,3,127,1,1,Yes,Month-to-month
Mobile Smart,60,24.99,500,5G,51,Brussels,Brussels,Yes,67.6,361,22,No,Direct debit,7,212,1,2,No,Month-to-month
Mobile Essential,5,16.99,220,4G,54,Namur,Wallonia,No,3.9,1094,5,No,Direct debit,1,77,1,2,Yes,Month-to-month
Mobile Smart,60,24.99,500,5G,25,Hasselt,Flanders,No,46.4,714,117,No,Direct debit,9,203,0,1,Yes,Month-to-month
Mobile Unlimited,999,49.99,1000,5G,47,Brussels,Brussels,Yes,159.3,175,25,Yes,Direct debit,3,686,0,0,Yes,Month-to-month
Mobile Smart,60,24.99,500,5G,48,Ghent,Flanders,Yes,31.4,50,15,No,Direct debit,16,283,1,2,No,Month-to-month
Mobile Easy,10,19.99,250,5G,36,Mons,Wallonia,No,7.9,604,58,No,Bank transfer,28,97,1,0,No,Month-to-month
Mobile Smart,60,24.99,500,5G,56,Leuven,Flanders,Yes,44.6,371,27,No,Direct debit,50,253,0,2,No,Month-to-month
Mobile Smart,60,24.99,500,5G,38,Leuven,Flanders,Yes,52.7,496,14,No,Direct debit,34,343,0,0,No,Month-to-month
Mobile Smart,60,24.99,500,5G,41,Leuven,Flanders,Yes,72.0,700,66,No,Direct debit,67,375,0,2,No,Month-to-month
Mobile Unlimited,999,49.99,1000,5G,37,Antwerp,Flanders,Yes,160.8,769,80,No,Direct debit,2,411,0,2,Yes,Month-to-month
Mobile Easy,10,19.99,250,5G,40,Ghent,Flanders,Yes,7.2,322,44,No,Bank transfer,1,120,0,3,No,Month-to-month
Mobile Unlimited,999,49.99,1000,5G,26,Ghent,Flanders,Yes,170.7,403,1,Yes,Bank transfer,26,651,0,3,No,Month-to-month
Mobile Unlimited,999,49.99,1000,5G,22,Brussels,Brussels,Yes,59.0,559,33,No,Direct debit,9,360,0,1,Yes,Month-to-month
Mobile Essential,5,16.99,220,4G,59,Liège,Wallonia,Yes,2.1,583,57,Yes,Bank transfer,8,96,1,0,Yes,Month-to-month
Mobile Essential,5,16.99,220,4G,29,Ghent,Flanders,Yes,2.8,493,5,No,Bank transfer,10,136,0,1,No,Month-to-month
Mobile Essential,5,16.99,220,4G,28,Namur,Wallonia,No,3.4,1022,10,No,Bank transfer,8,104,1,1,No,Month-to-month
Mobile Essential,5,16.99,220,4G,18,Charleroi,Wallonia,Yes,4.0,579,85,No,Direct debit,18,78,1,2,No,Month-to-month
Mobile Essential,5,16.99,220,4G,32,Antwerp,Flanders,Yes,4.5,693,0,No,Direct debit,14,152,0,1,Yes,Month-to-month
Mobile Smart,60,24.99,500,5G,24,Liège,Wallonia,Yes,67.7,520,55,No,Direct debit,18,254,1,1,Yes,Month-to-month
Mobile Essential,5,16.99,220,4G,59,Leuven,Flanders,Yes,4.0,202,25,Yes,Bank transfer,27,146,1,0,No,Month-to-month
Mobile Easy,10,19.99,250,5G,52,Charleroi,Wallonia,Yes,8.0,272,23,No,Direct debit,12,111,0,1,No,Month-to-month
Mobile Maxi,120,29.99,500,5G,31,Antwerp,Flanders,Yes,52.8,169,0,Yes,Direct debit,7,343,0,1,Yes,Month-to-month
Mobile Essential,5,16.99,220,4G,67,Liège,Wallonia,Yes,2.1,823,68,No,Direct debit,5,84,0,1,Yes,Month-to-month
Mobile Maxi,120,29.99,500,5G,51,Hasselt,Flanders,No,100.9,119,17,No,Direct debit,11,187,2,3,Yes,Month-to-month
Mobile Easy,10,19.99,250,5G,36,Antwerp,Flanders,Yes,7.5,392,31,No,Direct debit,33,138,1,1,No,Month-to-month
Mobile Essential,5,16.99,220,4G,18,Brussels,Brussels,Yes,5.4,334,45,No,Bank transfer,34,156,0,0,No,Month-to-month
Mobile Smart,60,24.99,500,5G,67,Liège,Wallonia,Yes,31.7,328,48,Yes,Direct debit,27,220,1,1,No,Month-to-month
Mobile Smart,60,24.99,500,5G,23,Liège,Wallonia,Yes,25.2,349,124,Yes,Bank transfer,7,346,0,2,Yes,Month-to-month
Mobile Maxi,120,29.99,500,5G,20,Antwerp,Flanders,Yes,91.1,1139,30,No,Direct debit,22,251,0,1,No,Month-to-month
Mobile Smart,60,24.99,500,5G,52,Hasselt,Flanders,No,35.4,79,20,No,Direct debit,21,304,1,2,No,Month-to-month
Mobile Maxi,120,29.99,500,5G,69,Ghent,Flanders,Yes,52.8,945,122,Yes,Direct debit,16,265,0,2,No,Month-to-month
Mobile Easy,10,19.99,250,5G,56,Liège,Wallonia,Yes,9.8,370,41,No,Direct debit,20,126,1,2,No,Month-to-month
Mobile Essential,5,16.99,220,4G,46,Antwerp,Flanders,Yes,2.4,738,14,No,Direct debit,17,128,1,0,Yes,Month-to-month
Mobile Maxi,120,29.99,500,5G,47,Charleroi,Wallonia,Yes,106.4,457,5,Yes,Direct debit,21,375,1,0,No,Month-to-month
Mobile Maxi,120,29.99,500,5G,50,Antwerp,Flanders,Yes,75.0,183,73,No,Direct debit,31,247,0,0,No,Month-to-month
Mobile Unlimited,999,49.99,1000,5G,49,Ghent,Flanders,Yes,59.5,1000,17,Yes,Direct debit,3,337,1,2,Yes,Month-to-month
Mobile Easy,10,19.99,250,5G,43,Brussels,Brussels,Yes,7.0,907,43,No,Direct debit,34,177,2,0,No,Month-to-month
Mobile Easy,10,19.99,250,5G,41,Brussels,Brussels,Yes,10.4,194,25,No,Direct debit,4,110,0,4,No,Month-to-month
Mobile Maxi,120,29.99,500,5G,39,Mechelen,Flanders,No,85.6,633,8,No,Direct debit,2,272,0,0,No,Month-to-month
Mobile Easy,10,19.99,250,5G,30,Antwerp,Flanders,Yes,10.0,281,36,No,Direct debit,90,133,0,0,No,Month-to-month
